번호,지역,회사명,전화번호,생산품,공장대표주소
1,서대구산업단지,26STORY,070-4103-1026,"프린팅원단,기능성원단","대구광역시 서구 와룡로 385-3 (중리동, 동신)"
2,서대구산업단지,주식회사 홈앤코리아,070-4123-9934,부직포(자동차내장제),대구광역시 서구 문화로23길 14-1 (이현동)
3,서대구산업단지,(주)일진바이오,070-5038-5229,가공식품(단백질보충용),대구광역시 서구 와룡로97길 15 (이현동)
4,서대구산업단지,켐테크미드,070-8711-5533,"방청제,피막약품용제,무전해도금용제",대구광역시 서구 와룡로73길 26 (중리동)
5,서대구산업단지,천프라자,070-8748-3707,침장,대구광역시 서구 와룡로72길 37-5 (중리동)
6,서대구산업단지,대광섬유,053-246-2731,폴리에스터,대구광역시 서구 평리로35길 84 (중리동)
7,서대구산업단지,종합광고에스엠,053-247-8575,"간판,안내판,옥외광고 외",대구광역시 서구 와룡로84길 13-2 (이현동)
8,서대구산업단지,천일인쇄소,053-253-9590,박스인쇄,"대구광역시 서구 평리로29길 26 (중리동, 중리동공장)"
9,서대구산업단지,엠씨이엔지(모토캠프),053-254-9462,"레저용품,트레일러",대구광역시 서구 와룡로87길 28 (이현동)
10,서대구산업단지,(주)네오피지오텍,053-256-1238,우레탄발포성형베개,"대구광역시 서구 와룡로97길 14, 이현팩토리밸리 1동 (이현동)"
11,서대구산업단지,오성상회,053-256-1317,한복지,대구광역시 서구 와룡로72길 37-2 (중리동)
12,서대구산업단지,산내들식품,053-256-3223,삼계탕부자재,"대구광역시 서구 와룡로99길 17, 이현팩토리밸리 14호 (이현동)"
13,서대구산업단지,드림패케이지,053-257-7731,"종이박스,쇼핑백",대구광역시 서구 와룡로99길 24 (이현동)
14,서대구산업단지,창대샷다,053-263-4504,샷다,대구광역시 서구 평리로35길 65 (중리동)
15,서대구산업단지,(주)성광공업,053-286-3666,자동차부품 도금,"대구광역시 서구 문화로17길 23, 1층 (이현동)"
16,서대구산업단지,(주)마이하우스,053-295-1065,침구류,대구광역시 서구 문화로19길 3 (이현동)
17,서대구산업단지,(주)마이하우스,053-295-1065,"침구류,커튼",대구광역시 서구 와룡로 447-5 (이현동)
18,서대구산업단지,신세계니트,053-295-6858,니트,대구광역시 서구 문화로23길 9 (이현동)
19,서대구산업단지,다운연마,053-314-4300,기계부품연마,대구광역시 서구 문화로14길 28 (이현동)
20,서대구산업단지,주식회사 하나디앤비(D&B),053-314-4980,"침구,수예소품",대구광역시 서구 와룡로90길 14 (이현동)
21,서대구산업단지,경민FCR,053-341-5002,섬유후가공(코팅),대구광역시 서구 와룡로66안길 10 (중리동)
22,서대구산업단지,CORI DENT,053-351-1772,치과교합기,"대구광역시 서구 와룡로83길 9 (이현동, 우주정밀)"
23,서대구산업단지,성진테크,053-351-6301,"스텐후렘,세이프도어",대구광역시 서구 와룡로66길 45 (중리동)
24,서대구산업단지,유신정밀산업,053-351-6501,"금속절단, 절곡",대구광역시 서구 이현동  42-604 
25,서대구산업단지,다은섬유,053-352-2672,섬유나염(로라),대구광역시 서구 와룡로100길 16 (이현동)
26,서대구산업단지,티에이에스인스펙션,053-352-3945,근무복,대구광역시 서구 와룡로69길 72 (중리동)
27,서대구산업단지,동아환경(주),053-353-5534,집집기,"대구광역시 서구 와룡로 447-13 (이현동, 청구수산)"
28,서대구산업단지,KD테크,053-353-6423,자동차 농기계부품,대구광역시 서구 와룡로87길 30 (이현동)
29,서대구산업단지,에스아이월드(SI WORLD),053-353-6850,염색용착색제,대구광역시 서구 문화로23길 22 (이현동)
30,서대구산업단지,주식회사 해동섬유,053-353-8060,섬유후가공,"대구광역시 서구 와룡로66길 21 (중리동, 금보교역)"
31,서대구산업단지,새한계전,053-354-0953,"자동제어,배전반",대구광역시 서구 와룡로97길 23 (이현동)
32,서대구산업단지,(주)코리아실크로드,053-354-6637,"Nylon,Polyester,Cotton,Mixture Textile",대구광역시 서구 국채보상로3길 24-1 (이현동)
33,서대구산업단지,한진,053-354-8061,보일러,대구광역시 서구 문화로 38-7 (이현동)
34,서대구산업단지,태성NC,053-354-8170,방전가공,대구광역시 서구 와룡로99길 17 (이현동)
35,서대구산업단지,태경세라믹,053-355-2129,세라믹전자부품,대구광역시 서구 국채보상로3길 28-1 (이현동)
36,서대구산업단지,주식회사 인성이엔지,053-355-4354,자동화기계,대구광역시 서구 와룡로97길 18 (이현동)
37,서대구산업단지,(주)이수스틸,053-356-1884,"못,나사,볼트","대구광역시 서구 와룡로97길 14, 4동 (이현동)"
38,서대구산업단지,덕원ENG,053-356-3408,파이프,대구광역시 서구 와룡로72길 35 (중리동)
39,서대구산업단지,덕원산업,053-356-3408,탱크,대구광역시 서구 와룡로72길 35 (중리동)
40,서대구산업단지,거대산업,053-358-0121,농기구 부속,"대구광역시 서구 와룡로100길 16, 지하1층 (이현동)"
41,서대구산업단지,(주)가온텍,053-358-6638,진동융착지그,대구광역시 서구 문화로3길 8 (이현동)
42,서대구산업단지,(주)대동계전,053-358-6662,수배전반,대구광역시 서구 와룡로73길 25 (중리동)
43,서대구산업단지,현성산업,053-358-7595,자동차 부품,대구광역시 서구 문화로7길 23 (이현동)
44,서대구산업단지,하동기공,053-358-9564,산업용나이프류,대구광역시 서구 국채보상로10길 19 (중리동)
45,서대구산업단지,신우바이오텍스,053-358-9631,"폴리노직,면",대구광역시 서구 와룡로100길 16 (이현동)
46,서대구산업단지,상일산업,053-359-1300,싱크대,대구광역시 서구 평리로35길 63-1 (중리동)
47,서대구산업단지,부광공업,053-382-7575,자동차부품,대구광역시 서구 국채보상로6길 12-3 (중리동)
48,서대구산업단지,동음전자,053-382-9900,스피커,"대구광역시 서구 와룡로 385-3 (중리동, 동신)"
49,서대구산업단지,(주)아크로텍스,053-383-2801,합성피혁,"대구광역시 서구 와룡로66길 65-13, 6동 (중리동)"
50,서대구산업단지,(주)미래인터텍스,053-384-3191,"이불,베개,패드",대구광역시 서구 와룡로73길 27 (중리동)
51,서대구산업단지,한솔블라인드,053-427-7845,블라인드,대구광역시 서구 와룡로100길 17 (이현동)
52,서대구산업단지,원데코,053-431-5001,"버티칼, 롤스크린",대구광역시 서구 와룡로 386 (중리동)
53,서대구산업단지,(주)힐링티에프케이,053-521-0308,원적외선 음이온 방사기기,"대구광역시 서구 와룡로100길 10, 3층 (이현동)"
54,서대구산업단지,우진산업,053-521-1895,건축용 플라스틱,대구광역시 서구 와룡로83길 7 (이현동)
55,서대구산업단지,동인알앤씨,053-521-4310,"문고리,도르레(창호)",대구광역시 서구 국채보상로3길 32 (이현동)
56,서대구산업단지,춘양목형산업,053-521-8625,"목,금형",대구광역시 서구 와룡로99길 38 (이현동)
57,서대구산업단지,태성LED,053-521-9140,간판.LED,대구광역시 서구 국채보상로14길 20-2 (중리동)
58,서대구산업단지,보명엘엔씨,053-521-9400,조명기구제작,"대구광역시 서구 문화로19길 3, 102호(공장),301호(사무실) (이현동, 동양어패럴)"
59,서대구산업단지,(주)한솔아이엠비,053-522-2033,블라인드,대구광역시 서구 와룡로 451 (이현동)
60,서대구산업단지,천일장갑 제2공장,053-522-2230,장갑,"대구광역시 서구 와룡로70길 13 (중리동, 천일장갑)"
61,서대구산업단지,천일장갑,053-522-2230,면장갑,"대구광역시 서구 와룡로72길 12 (중리동, 예성텍스&디자인)"
62,서대구산업단지,C.K Texetile,053-522-2311,수직샘플,"대구광역시 서구 와룡로65길 16, 상아테크 205호 (중리동)"
63,서대구산업단지,아이.피.티(I.P.T),053-522-2338,섬유정포가공,대구광역시 서구 와룡로72길 39 (중리동)
64,서대구산업단지,태람,053-522-3800,우드블라인드,대구광역시 서구 국채보상로14길 29-13 (중리동)
65,서대구산업단지,디케이아이(DKI)인스펙션,053-522-5571,바지,대구광역시 서구 와룡로72길 37-7 (중리동)
66,서대구산업단지,하나로테크,053-522-7411,자동차부품,"대구광역시 서구 와룡로97길 7 (이현동, 하나로테크)"
67,서대구산업단지,상운도금,053-522-8226,"전자부품,자동차부품",대구광역시 서구 와룡로73길 57-22 (중리동)
68,서대구산업단지,태일테크,053-523-1467,프레스금형,대구광역시 서구 와룡로87길 40 (이현동)
69,서대구산업단지,보영엔지니어링,053-523-3627,농임업용동력분무기,대구광역시 서구 국채보상로3길 20-1 (이현동)
70,서대구산업단지,한국네츄럴팜,053-523-5672,건강기능식품,대구광역시 서구 문화로 22-19 (이현동)
71,서대구산업단지,달서유리,053-523-6262,"거울,유리제품","대구광역시 서구 와룡로66길 26 (중리동, JS어패럴)"
72,서대구산업단지,프릭스코리아,053-523-7277,"등산복, 근무복, 작업복 등 의류",대구광역시 서구 평리로35길 12 (중리동)
73,서대구산업단지,주식회사 라온씨앤비,053-523-7751,빵,"대구광역시 서구 와룡로65길 22, A동 115호 (중리동, 태백)"
74,서대구산업단지,명진섬유,053-523-8122,와인더(실),대구광역시 서구 와룡로73길 25 (중리동)
75,서대구산업단지,J&C컴퍼니,053-523-9933,"티셔츠,체육복",대구광역시 서구 와룡로72길 37-4 (중리동)
76,서대구산업단지,대양금속,053-524-0483,자동차부품,대구광역시 서구 와룡로87길 31 (이현동)
77,서대구산업단지,경희테크,053-524-1545,자동차엔진부큐숀생산,대구광역시 서구 국채보상로5길 29 (이현동)
78,서대구산업단지,(주)마루콜렉션,053-524-2467,침구류,대구광역시 서구 이현동 42-584번지
79,서대구산업단지,AMP테크,053-524-6640,자동차부품,대구광역시 서구 와룡로66길 21 (중리동)
80,서대구산업단지,(주)동진분체,053-525-0477,분체 도장,대구광역시 서구 문화로 22-9 (이현동)
81,서대구산업단지,(주)더여일,053-525-2347,"CCTV,방송음향기기,조명제어,경관조명,주차관제,전자제어기기","대구광역시 서구 와룡로72길 37-10, 2층 (중리동)"
82,서대구산업단지,창문애아트블라인드,053-525-4096,롤스크린,대구광역시 서구 와룡로66길 44 (중리동)
83,서대구산업단지,(주)대풍디앤에프,053-525-4447,포장육,대구광역시 서구 평리로35길 90-5 (중리동)
84,서대구산업단지,샤인(Shine),053-525-5009,"커튼,블라인드","대구광역시 서구 와룡로 417 (이현동, 공단자동차학원)"
85,서대구산업단지,주식회사  서진가공,053-525-6776,폴리가공,대구광역시 서구 평리로29길 28 (중리동)
86,서대구산업단지,미광금사,053-525-7210,금속실,대구광역시 서구 와룡로73길 57-8 (중리동)
87,서대구산업단지,주식회사 재령창호건설,053-525-7586,금속재 창호,대구광역시 서구 와룡로73길 57-26 (중리동)
88,서대구산업단지,(주)미앤부티,053-525-7681,"도금원단, 로브",대구광역시 서구 와룡로73길 57-19 (중리동)
89,서대구산업단지,승리금속,053-526-0702,도금,대구광역시 서구 와룡로66길 21 (중리동)
90,서대구산업단지,(주)삼원기업,053-526-5555,"건축용 프레임, 이동용 대차",대구광역시 서구 와룡로100길 15 (이현동)
91,서대구산업단지,태성공업사,053-526-5660,"주방용품,자동차부품",대구광역시 서구 문화로19길 28 (이현동)
92,서대구산업단지,진품가구아울렛,053-526-8598,돌침대,대구광역시 서구 국채보상로2길 29 (중리동)
93,서대구산업단지,(주)신창조산업,053-527-7002,우드칩,대구광역시 서구 문화로4길 20 (이현동)
94,서대구산업단지,(주)미래테크,053-527-9045,"자동차검사장비, 검사구",대구광역시 서구 국채보상로3길 34-1 (이현동)
95,서대구산업단지,(주)태호기계,053-551-0163,양말 편직기,"대구광역시 서구 평리로33길 29 (중리동, 태호기계)"
96,서대구산업단지,(주)제이스디자인,053-551-1171,간판,대구광역시 서구 문화로23길 18-1 (이현동)
97,서대구산업단지,동남기계제작소,053-551-1452,맛김생산기계,대구광역시 서구 와룡로87길 68 (이현동)
98,서대구산업단지,신흥통상(주),053-551-1780,염색원단,"대구광역시 서구 평리로21길 20 (중리동, 신흥통상)"
99,서대구산업단지,(주)이엠에스,053-551-2091,도시락,대구광역시 서구 문화로23길 16 (이현동)
100,서대구산업단지,(주)평화플랜트,053-551-2536,냉동기계,대구광역시 서구 와룡로90길 45 (이현동)
101,서대구산업단지,금성섬유(주),053-551-3103,임직물,"대구광역시 서구 국채보상로14길 5 (중리동, 금성섬유)"
102,서대구산업단지,(주)대경에프엔티,053-551-4150,폴리에스텔,"대구광역시 서구 문화로4길 16 (이현동, 한주통상)"
103,서대구산업단지,제이엠테크,053-551-4649,"볼트 등 금형, 단조금형, 세라믹금형",대구광역시 서구 와룡로72길 35 (중리동)
104,서대구산업단지,(주)대경텍 이현공장,053-551-5200,염직물,대구광역시 서구 와룡로87길 74 (이현동)
105,서대구산업단지,에이지에이텍스주식회사,053-551-5841,폴리에스텔,대구광역시 서구 와룡로75길 30 (중리동)
106,서대구산업단지,(주)보국텍스,053-551-6090,"안감지,학생복,가방지",대구광역시 서구 와룡로66안길 22 (중리동)
107,서대구산업단지,마디산업개발,053-551-6300,자전거공기주입기 외,"대구광역시 서구 국채보상로23길 7-3 (이현동, 금강빌딩)"
108,서대구산업단지,(주)유신테크,053-551-6505,금속절단절곡,대구광역시 서구 문화로3길 25 (이현동)
109,서대구산업단지,(주)대창무역,053-551-7952,"침구류,환자복,유니폼 등",대구광역시 서구 문화로21길 26 (이현동)
110,서대구산업단지,(주)대창티앤비 1공장,053-551-7952,"침구류,환자복,유니폼,손수건, 사원복 등","대구광역시 서구 문화로21길 26, 205호 (이현동)"
111,서대구산업단지,(주)보광직물,053-551-9901,"면직물, 판촉용의류,봉제류 제조품","대구광역시 서구 국채보상로20길 24 (중리동, (주)보광직물)"
112,서대구산업단지,(주)성진EMB,053-552-0048,의류용 자수제품,대구광역시 서구 문화로 22-20 (이현동)
113,서대구산업단지,(주)명진초경,053-552-0301,자동차부품 금형,대구광역시 서구 국채보상로3길 14 (이현동)
114,서대구산업단지,대현산업,053-552-0415,염색기부품,대구광역시 서구 문화로14길 28 (이현동)
115,서대구산업단지,영광직물,053-552-1234,의복,대구광역시 서구 와룡로72길 37-6 (중리동)
116,서대구산업단지,(주)대성무역,053-552-1571,"면직물,특장차","대구광역시 서구 와룡로 480 (이현동, 대성무역)"
117,서대구산업단지,기공사,053-552-2355,로링 및 교정,대구광역시 서구 문화로14길 32 (이현동)
